  0 816.6  38.4 2067
  1 813.3  41.7 2064
  2 809.8  45.2 2066
  3 806.5  48.5 2065
  4 803.0  52.0 2867
  5 799.7  55.3 2864
  6 796.2  58.8 2866
  7 792.9  62.1 2865
  8 787.9  67.1 2355
  9 784.6  70.4 2352
 10 781.2  73.8 2354
 11 777.9  77.1 2353
 12 774.5  80.5 2003
 13 771.2  83.8 2000
 14 767.7  87.3 2002
 15 764.4  90.6 2001
 16 759.6  95.4 2611
 17 756.4  98.6 2608
 18 753.0 102.0 2610
 19 749.8 105.2 2609
 20 746.4 108.6 2323
 21 743.1 111.9 2320
 22 739.7 115.3 2322
 23 736.5 118.5 2321
 24 731.8 123.2 2291
 25 728.6 126.4 2288
 26 725.3 129.7 2290
 27 722.1 132.9 2289
 28 718.8 136.2 2579
 29 715.6 139.4 2576
 30 712.3 142.7 2578
 31 709.1 145.9 2577
 32 704.6 150.4 2035
 33 701.5 153.5 2032
 34 698.2 156.8 2034
 35 695.1 159.9 2033
 36 691.8 163.2 2643
 37 688.7 166.3 2640
 38 685.5 169.5 2642
 39 682.4 172.6 2641
 40 678.0 177.0 2931
 41 675.0 180.0 2928
 42 671.8 183.2 2930
 43 668.7 186.3 2929
 44 665.6 189.4 2899
 45 662.5 192.5 2896
 46 659.4 195.6 2898
 47 656.3 198.7 2897
 48 652.2 202.8 2071
 49 649.2 205.8 2068
 50 646.1 208.9 2070
 51 643.1 211.9 2069
 52 640.0 215.0 2871
 53 637.1 217.9 2868
 54 634.0 221.0 2870
 55 631.0 224.0 2869
 56 627.1 227.9 2359
 57 624.2 230.8 2356
 58 621.2 233.8 2358
 59 618.3 236.7 2357
 60 615.3 239.7 2007
 61 612.4 242.6 2004
 62 609.4 245.6 2006
 63 606.5 248.5 2005
 64 602.7 252.3 2615
 65 599.9 255.1 2612
 66 597.0 258.0 2614
 67 594.2 260.8 2613
 68 591.2 263.8 2327
 69 588.4 266.6 2324
 70 585.5 269.5 2326
 71 582.8 272.2 2325
 72 579.2 275.8 2295
 73 576.4 278.6 2292
 74 573.6 281.4 2294
 75 570.8 284.2 2293
 76 568.0 287.0 2583
 77 565.3 289.7 2580
 78 562.5 292.5 2582
 79 559.8 295.2 2581
 80 556.4 298.6 2039
 81 553.7 301.3 2036
 82 550.9 304.1 2038
 83 548.3 306.7 2037
 84 545.5 309.5 2647
 85 542.9 312.1 2644
 86 540.2 314.8 2646
 87 537.5 317.5 2645
 88 534.3 320.7 2935
 89 531.7 323.3 2932
 90 529.0 326.0 2934
 91 526.4 328.6 2933
 92 523.8 331.2 2903
 93 521.2 333.8 2900
 94 518.6 336.4 2902
 95 516.0 339.0 2901
 96 512.9 342.1 2075
 97 510.4 344.6 2072
 98 507.8 347.2 2074
 99 505.3 349.7 2073
100 502.8 352.2 2875
101 500.3 354.7 2872
102 497.7 357.3 2874
103 495.3 359.7 2873
104 492.3 362.7 2363
105 489.9 365.1 2360
106 487.4 367.6 2362
107 484.9 370.1 2361
108 482.5 372.5 2011
109 480.0 375.0 2008
110 477.6 377.4 2010
111 475.2 379.8 2009
112 472.4 382.6 2619
113 470.0 385.0 2616
114 467.6 387.4 2618
115 465.2 389.8 2617
116 462.8 392.2 2331
117 460.5 394.5 2328
118 458.1 396.9 2330
119 455.8 399.2 2329
120 453.1 401.9 2299
121 450.8 404.2 2296
122 448.4 406.6 2298
123 446.1 408.9 2297
124 443.8 411.2 2587
125 441.5 413.5 2584
126 439.2 415.8 2586
127 437.0 418.0 2585
128 434.4 420.6 2043
129 432.2 422.8 2040
130 429.9 425.1 2042
131 427.7 427.3 2041
132 425.4 429.6 2651
133 423.2 431.8 2648
134 421.0 434.0 2650
135 418.8 436.2 2649
136 416.4 438.6 2939
137 414.2 440.8 2936
138 412.0 443.0 2938
139 409.8 445.2 2937
140 407.7 447.3 2907
141 405.5 449.5 2904
142 403.4 451.6 2906
143 401.3 453.7 2905
144 398.9 456.1 2079
145 396.8 458.2 2076
146 394.7 460.3 2078
147 392.6 462.4 2077
148 390.4 464.6 2879
149 388.4 466.6 2876
150 386.3 468.7 2878
151 384.2 470.8 2877
152 382.0 473.0 2367
153 379.9 475.1 2364
154 377.9 477.1 2366
155 375.8 479.2 2365
156 373.8 481.2 2015
157 371.8 483.2 2012
158 369.7 485.3 2014
159 367.8 487.2 2013
160 365.6 489.4 2623
161 363.6 491.4 2620
162 361.6 493.4 2622
163 359.6 495.4 2621
164 357.6 497.4 2335
165 355.7 499.3 2332
166 353.7 501.3 2334
167 351.8 503.2 2333
168 349.7 505.3 2303
169 347.8 507.2 2300
170 345.8 509.2 2302
171 343.9 511.1 2301
172 342.0 513.0 2591
173 340.1 514.9 2588
174 338.2 516.8 2590
175 336.3 518.7 2589
176 334.3 520.7 2047
177 332.4 522.6 2044
178 330.6 524.4 2046
179 328.7 526.3 2045
180 326.8 528.2 2655
181 325.0 530.0 2652
182 323.1 531.9 2654
183 321.3 533.7 2653
184 319.4 535.6 2943
185 317.6 537.4 2940
186 315.7 539.3 2942
187 313.9 541.1 2941
188 312.1 542.9 2911
189 310.3 544.7 2908
190 308.5 546.5 2910
191 306.8 548.2 2909
192 304.9 550.1 2083
193 303.2 551.8 2080
194 301.4 553.6 2082
195 299.6 555.4 2081
